age,taille,poids,sport_licence,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,niveau_etude_encoded,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France,smoker_oui,situation_familiale_divorcé,situation_familiale_marié,situation_familiale_veuf
73,161.1,67.3,non,857,0.0,0.11,615.0,1377.97,13157.101646368172,3.0,False,False,False,False,True,False,False,False,False,False,False
44,168.2,74.9,non,5245,2.0,0.79,574.0,10000.0,32408.309271881208,1.0,False,False,False,False,False,False,True,False,False,False,False
71,160.3,45.5,non,3792,0.0,0.13,574.0,5000.0,17975.461375021725,4.0,False,False,False,False,False,False,False,True,False,False,False
62,161.9,87.7,oui,3291,0.0,0.32,574.0,10000.0,16004.737730594868,1.0,False,False,False,False,False,False,False,True,True,False,False
18,178.0,77.6,oui,3893,0.0,0.66,574.0,,10437.682759868923,1.0,False,True,False,False,False,False,False,False,False,False,False
65,179.5,61.5,non,2577,0.0,0.58,574.0,5000.0,500.0,1.0,False,False,False,False,True,False,False,False,False,False,True
22,170.8,60.9,non,714,0.0,0.46,772.0,699.57,500.0,3.0,True,False,False,False,False,False,False,True,False,False,False
54,170.0,61.3,oui,2629,0.0,0.22,574.0,10000.0,500.0,0.0,False,False,False,False,False,False,True,True,False,True,False
61,175.2,58.5,oui,1572,0.0,0.85,356.0,5000.0,4494.300952230585,4.0,False,True,False,False,False,False,False,True,True,False,False
28,161.6,81.2,oui,500,2.0,0.66,356.0,10000.0,500.0,3.0,False,False,True,False,False,False,False,True,False,False,False
28,181.8,81.1,non,2847,0.0,0.37,611.0,518.38,22788.001263240207,3.0,True,False,False,False,False,False,False,False,False,True,False
24,169.1,68.1,non,3440,2.0,0.14,633.0,,18070.091787237645,4.0,False,False,False,False,False,True,False,True,False,True,False
42,170.2,53.4,oui,4508,0.0,0.33,574.0,831.36,8464.616164954017,2.0,True,False,False,False,False,False,False,True,False,False,False
53,158.2,84.3,oui,885,3.0,0.48,375.0,5000.0,12373.56023523041,4.0,False,False,True,False,False,False,False,True,False,True,False
57,158.9,57.3,oui,3114,4.0,0.5,646.0,10000.0,20050.690685912497,3.0,False,False,False,False,False,False,True,True,False,False,False
22,155.5,85.0,oui,1501,0.0,0.1,574.0,10000.0,16303.54507463377,3.0,False,False,False,False,True,False,False,False,False,True,False
45,188.0,87.6,non,1840,2.0,0.52,434.0,596.0,500.0,1.0,False,False,False,False,True,False,False,True,False,False,False
37,164.6,95.1,oui,2050,5.0,0.5,634.0,,500.0,0.0,False,False,False,False,False,False,False,False,False,True,False
35,170.6,83.3,non,3911,3.0,0.67,574.0,,500.0,0.0,False,False,False,False,False,True,False,False,True,False,False
34,157.9,73.9,non,3821,5.0,0.04,574.0,1141.89,500.0,0.0,False,False,False,False,False,False,True,True,False,True,False
29,165.3,79.0,non,500,0.0,0.5,574.0,925.87,17137.888522770147,4.0,False,False,False,False,False,False,False,False,False,True,False
24,169.4,58.2,non,3269,0.0,0.45,574.0,,500.0,0.0,True,False,False,False,False,False,False,True,False,False,False
74,155.1,65.4,non,500,2.0,0.22,574.0,,500.0,2.0,False,False,False,True,False,False,False,True,False,False,True
53,181.7,56.7,oui,2802,0.0,0.01,574.0,5000.0,21691.867312082977,3.0,False,False,False,False,False,False,True,True,False,True,False
58,181.7,59.0,oui,832,0.0,0.51,689.0,,23167.904430812967,2.0,False,True,False,False,False,False,False,False,False,True,False
32,167.1,76.5,non,4635,5.0,0.8,574.0,10000.0,1986.2237285384024,4.0,False,False,False,False,False,False,True,True,False,False,False
51,152.9,70.6,oui,500,4.0,0.96,574.0,10000.0,500.0,3.0,False,False,False,False,False,True,False,False,True,False,False
22,170.3,84.1,non,900,3.0,0.14,574.0,,500.0,0.0,False,False,True,False,False,False,False,True,False,True,False
58,172.7,76.4,oui,3853,2.0,0.4,656.0,10000.0,500.0,1.0,False,False,False,False,False,True,False,True,False,True,False
49,174.6,70.0,non,2203,0.0,0.8,574.0,866.27,16750.901381517804,3.0,False,False,False,False,False,True,False,False,False,True,False
66,156.9,73.7,non,1672,5.0,0.12,620.0,,500.0,4.0,False,True,False,False,False,False,False,False,False,False,False
71,169.5,63.8,non,2267,0.0,0.12,818.0,10000.0,27822.25265661032,3.0,False,False,False,False,False,False,False,False,False,True,False
44,166.2,56.4,oui,2350,4.0,0.08,574.0,10000.0,12238.402238366429,0.0,False,False,False,False,False,False,False,False,False,True,False
28,180.5,73.1,oui,2182,3.0,0.02,574.0,10000.0,18547.59442206578,3.0,False,False,False,False,False,False,True,False,False,True,False
33,184.1,68.2,oui,923,3.0,0.57,574.0,,500.0,1.0,False,False,False,False,False,True,False,True,False,False,True
46,180.0,80.4,non,2214,3.0,0.86,464.0,10000.0,500.0,3.0,False,False,True,False,False,False,False,True,False,True,False
52,166.9,66.4,non,1959,5.0,0.5,574.0,5000.0,500.0,1.0,False,True,False,False,False,False,False,False,False,True,False
30,184.7,82.7,non,2687,0.0,0.65,574.0,5000.0,500.0,1.0,False,False,False,False,True,False,False,True,False,False,False
27,183.9,60.6,oui,1788,0.0,0.9,461.0,10000.0,500.0,0.0,False,False,False,False,False,False,False,False,False,True,False
38,182.2,92.7,oui,2125,0.0,0.93,786.0,10000.0,500.0,3.0,False,True,False,False,False,False,False,False,True,False,False
24,172.9,42.6,non,1389,1.0,0.6,574.0,793.17,1366.7152302536567,2.0,False,False,False,False,False,False,True,True,False,False,False
31,151.7,72.7,oui,2850,0.0,0.89,574.0,10000.0,500.0,0.0,False,True,False,False,False,False,False,True,False,True,False
30,153.3,66.0,oui,1809,4.0,0.28,763.0,5000.0,500.0,3.0,False,True,False,False,False,False,False,True,False,False,True
24,171.2,80.3,oui,4370,0.0,0.15,804.0,10000.0,7915.101090898372,3.0,False,False,False,False,False,False,False,True,False,True,False
20,161.2,37.6,oui,4778,0.0,0.4,574.0,,28396.908742389693,3.0,True,False,False,False,False,False,False,True,False,True,False
72,171.5,97.1,non,725,0.0,0.8,574.0,10000.0,18632.93584235897,4.0,False,False,False,False,False,False,True,True,False,False,True
19,169.3,79.9,non,2124,0.0,0.53,511.0,5000.0,500.0,0.0,False,False,False,False,False,False,True,True,False,False,False
49,160.0,72.3,non,3422,0.0,0.6,640.0,,14326.37709078331,1.0,False,False,False,True,False,False,False,False,False,True,False
47,188.7,73.5,non,3838,2.0,0.5,574.0,5000.0,500.0,1.0,False,False,True,False,False,False,False,True,False,True,False
29,167.4,70.9,oui,660,0.0,0.64,499.0,,500.0,0.0,False,False,True,False,False,False,False,True,False,False,False
64,169.6,60.7,non,2071,3.0,0.6,574.0,10000.0,16528.519173978777,3.0,False,False,False,False,False,False,True,False,False,False,True
