age,sport_licence,niveau_etude,revenu_estime_mois,situation_familiale,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret
19.0,non,bac,4958.0,veuf,0.19,2021-04-04,2522.3059999999996,500.0
31.0,oui,bac+2,3001.0,veuf,0.93,2023-03-19,1270.84,786.595928525307
68.0,oui,doctorat,3758.0,veuf,0.68,2024-08-27,6101.09,29093.676396627423
50.0,oui,master,3967.0,marié,0.68,2022-03-18,10000.0,7823.303925132546
42.0,oui,master,2091.0,veuf,0.92,2020-10-17,5000.0,500.0
31.0,oui,doctorat,2554.2,marié,0.8,2023-08-02,10000.0,24020.24395844216
54.0,non,aucun,886.0,marié,0.91,2022-12-09,488.21,500.0
27.0,oui,doctorat,1061.0,marié,0.57,2022-04-20,692.45,29425.13822833588
31.0,oui,doctorat,1540.0,veuf,0.9,2023-08-29,5000.0,22143.694141361557
54.0,oui,master,3447.0,veuf,0.09,2021-07-16,10000.0,23381.42115415252
63.0,oui,aucun,1820.0,veuf,0.43,2020-10-18,5173.028,500.0
68.0,oui,master,1684.0,marié,0.36,2023-09-24,5000.0,4324.856803286908
73.0,oui,bac,2310.0,célibataire,0.56,2022-03-06,1094.79,500.0
57.0,oui,aucun,3140.0,veuf,0.37,2020-11-17,7000.0,500.0
35.0,non,aucun,4089.0,veuf,0.96,2020-09-14,10000.0,500.0
25.0,non,bac,3387.0,marié,0.0,2023-07-05,3640.12,500.0
40.0,non,doctorat,2622.0,divorcé,0.3,2024-02-06,5000.0,500.0
25.0,non,master,3158.0,célibataire,0.42,2021-12-16,5231.054,500.0
34.0,non,aucun,1959.0,célibataire,0.54,2025-05-29,5000.0,10854.07936402302
65.0,oui,master,3385.0,célibataire,0.84,2021-03-17,605.13,13939.190884194722
48.0,non,bac,3074.0,veuf,0.17,2023-11-10,5000.0,500.0
44.0,oui,bac+2,3403.0,divorcé,0.99,2022-11-30,3545.352,500.0
26.0,oui,aucun,1824.0,célibataire,0.2,2020-07-28,881.48,8454.336007043335
72.0,oui,aucun,4181.0,divorcé,0.33,2021-04-30,5000.0,7322.695420891237
55.0,non,master,500.0,marié,0.96,2021-05-17,5000.0,6793.452284371787
50.0,non,bac,3322.0,veuf,0.64,2024-10-24,1200.45,500.0
28.0,non,bac,1447.0,veuf,0.4,2021-12-10,10000.0,500.0
66.0,non,master,2886.0,divorcé,0.83,2020-12-22,10000.0,500.0
72.0,oui,bac,2744.0,célibataire,0.38,2020-04-07,5000.0,500.0
19.0,non,doctorat,1731.0,divorcé,0.37,2024-01-31,10000.0,7178.331807639605
74.0,oui,bac,867.0,marié,0.78,2023-02-16,10000.0,10699.741376669954
51.0,oui,bac,932.0,veuf,0.86,2020-03-17,5000.0,500.0
67.0,oui,master,1688.0,veuf,0.52,2020-02-26,8000.0,12691.20933726451
30.0,non,master,4821.0,célibataire,0.43,2020-03-01,852.08,32406.363429223
70.0,oui,doctorat,3294.0,marié,0.53,2025-01-16,6148.433999999999,14959.704183298292
59.0,non,doctorat,3307.0,divorcé,0.25,2023-11-20,5000.0,500.0
48.0,oui,doctorat,3327.0,veuf,0.24,2024-02-19,7134.158,931.2893411604468
33.0,non,bac+2,3644.0,divorcé,0.83,2025-05-20,10000.0,500.0
35.0,non,doctorat,2186.0,veuf,0.81,2021-12-30,5000.0,13336.458815540716
23.0,non,doctorat,1878.0,veuf,0.89,2024-08-14,10000.0,500.0
56.0,non,bac+2,3511.0,divorcé,0.35,2025-05-28,667.42,6275.995657375264
54.0,oui,bac,2292.0,veuf,0.09,2024-04-22,1225.01,500.0
18.0,oui,master,4413.0,divorcé,0.88,2020-04-24,7125.745999999999,23586.21984120104
66.0,non,doctorat,4075.0,veuf,0.23,2022-08-18,5000.0,29327.468801877967
54.0,non,bac+2,500.0,marié,0.23,2025-05-26,633.96,500.0
64.0,oui,bac,2527.0,veuf,0.64,2022-11-21,5000.0,6766.208142869146
18.0,non,doctorat,3125.0,veuf,0.95,2020-07-07,5356.8,500.0
66.0,oui,bac+2,2629.0,veuf,0.72,2023-01-27,10000.0,500.0
39.0,oui,aucun,4301.0,veuf,0.82,2021-02-17,5000.0,6527.309924135625
38.0,non,bac,3880.0,veuf,0.61,2020-08-07,4387.704,500.0
40.0,oui,aucun,3696.0,marié,0.5,2021-03-25,4303.382,500.0
21.0,non,aucun,5297.0,veuf,0.91,2022-07-25,3522.3059999999996,500.0
48.0,non,bac+2,2944.0,veuf,0.3,2020-08-14,5000.0,4878.983510459015
20.0,oui,aucun,1733.0,divorcé,0.73,2022-04-02,5000.0,500.0
71.0,non,bac,500.0,célibataire,0.42,2021-04-10,5123.13,500.0
24.0,oui,master,500.0,veuf,0.68,2021-11-27,3447.292,9005.3984759165
70.0,non,bac,891.0,veuf,0.72,2020-03-29,1262.05,4648.262954564732
67.0,non,aucun,3188.0,veuf,0.55,2023-07-01,10000.0,500.0
61.0,non,doctorat,3018.0,veuf,0.36,2024-04-18,10000.0,500.0
29.0,non,doctorat,500.0,veuf,0.82,2022-09-28,3447.292,17519.79086127057
63.0,non,master,4921.0,veuf,0.12,2020-12-20,10000.0,500.0
72.0,oui,aucun,2369.0,veuf,0.7,2021-12-26,1011.5,500.0
64.0,non,aucun,2309.0,veuf,0.39,2023-03-15,986.83,23004.85004339703
59.0,non,bac,4242.0,célibataire,0.78,2023-06-12,5000.0,525.9216548946995
72.0,oui,aucun,1279.0,veuf,0.71,2025-03-27,10000.0,500.0
18.0,oui,aucun,2803.0,veuf,0.25,2023-10-31,4402.54,5283.578467374318
40.0,oui,doctorat,2497.0,divorcé,0.19,2023-09-01,1819.0919999999999,500.0
35.0,non,bac,2794.0,veuf,0.4,2023-04-21,639.35,15204.45744031618
32.0,oui,bac,2945.0,veuf,0.26,2023-03-20,1164.09,500.0
63.0,non,aucun,4197.0,veuf,0.35,2020-05-18,10000.0,500.0
19.0,non,aucun,3256.0,veuf,0.65,2022-03-18,828.76,500.0
69.0,non,bac,3717.0,veuf,0.56,2022-01-21,10000.0,13170.559304605247
47.0,oui,doctorat,2983.0,veuf,0.69,2023-06-14,5000.0,23595.20348242246
70.0,non,doctorat,2076.0,veuf,0.7,2021-10-01,6061.2660000000005,22782.65101085786
67.0,oui,master,3439.0,veuf,0.06,2021-08-22,10000.0,942.2444110939668
68.0,oui,doctorat,686.0,célibataire,0.11,2020-12-01,5000.0,12270.06665872613
56.0,non,aucun,3780.0,célibataire,0.5,2025-02-24,5000.0,1147.9499177521698
66.0,oui,bac,4590.0,célibataire,0.84,2025-05-07,7000.0,25361.899125577955
58.0,non,bac+2,2960.0,divorcé,0.67,2024-05-03,7111.860000000001,12717.193538141437
44.0,oui,bac,3697.0,divorcé,0.45,2021-06-23,5000.0,5556.312600473804
45.0,non,bac,1635.0,marié,0.76,2022-01-15,958.13,500.0
56.0,oui,doctorat,1762.0,divorcé,0.04,2024-11-02,913.01,8395.400810142952
45.0,non,aucun,743.0,veuf,0.63,2024-03-31,10000.0,1991.076420631058
47.0,non,bac+2,2914.0,célibataire,0.46,2023-06-01,4419.01,500.0
65.0,non,master,1040.0,veuf,0.67,2024-08-08,10000.0,500.0
60.0,oui,aucun,1427.0,veuf,0.09,2022-10-11,10000.0,500.0
65.0,oui,bac,681.0,veuf,0.25,2024-11-09,5000.0,500.0
74.0,oui,doctorat,3300.0,marié,0.89,2020-08-31,6148.433999999999,753.6030929569296
52.0,non,bac+2,2175.0,veuf,0.95,2020-08-05,5000.0,14002.865498517638
49.0,oui,master,3484.0,veuf,0.65,2021-04-03,5000.0,17450.841622992128
22.0,non,doctorat,2106.0,célibataire,0.04,2024-01-17,5000.0,24090.770841341116
19.0,oui,doctorat,530.0,célibataire,0.24,2024-02-12,10000.0,500.0
59.0,oui,bac+2,5303.0,veuf,0.38,2025-05-11,385.13,26156.233451699125
56.0,non,bac+2,1714.0,marié,0.98,2022-08-23,755.18,500.0
41.0,oui,bac+2,1302.0,divorcé,0.06,2022-06-25,6292.136,500.0
60.0,oui,master,4205.0,célibataire,0.32,2024-02-22,959.2,8633.339757804348
35.0,non,doctorat,1337.0,veuf,0.32,2022-06-22,7127.488,500.0
40.0,non,master,1022.0,marié,0.83,2022-05-02,1181.95,22176.96596468062
26.0,oui,aucun,2685.0,célibataire,0.18,2020-03-24,6125.746,19568.24158699261
54.0,non,bac+2,2332.0,divorcé,0.38,2021-04-27,5000.0,500.0
43.0,oui,doctorat,1946.0,veuf,0.27,2024-10-25,5000.0,9420.317078132412
20.0,non,bac+2,500.0,veuf,0.63,2024-09-06,10000.0,4127.01517045297
59.0,non,bac,1436.0,divorcé,0.69,2025-01-16,6213.9220000000005,500.0
26.0,non,bac+2,3667.0,veuf,0.17,2024-11-14,10000.0,500.0
