age,sport_licence,niveau_etude,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret
19.0,non,bac,0.0,78.7,4958.0,veuf,0.19,2021-04-04,6132.914,500.0
31.0,oui,bac+2,1.0,221.8,3001.0,veuf,0.93,2023-03-19,1270.84,786.595928525307
68.0,oui,doctorat,2.0,227.8,3758.0,veuf,0.68,2024-08-27,7000.0,29093.676396627423
50.0,oui,master,2.0,64.0,3967.0,marié,0.68,2022-03-18,10000.0,7823.303925132546
42.0,oui,master,2.0,19.5,2091.0,veuf,0.92,2020-10-17,5000.0,500.0
31.0,oui,doctorat,3.0,298.4,2502.4,marié,0.8,2023-08-02,10000.0,24020.24395844216
54.0,non,aucun,1.0,247.2,886.0,marié,0.91,2022-12-09,488.21,500.0
27.0,oui,doctorat,3.0,305.4,1061.0,marié,0.57,2022-04-20,692.45,29425.13822833588
31.0,oui,doctorat,1.0,238.7,1540.0,veuf,0.9,2023-08-29,5000.0,22143.694141361557
54.0,oui,master,0.0,231.9,3447.0,veuf,0.09,2021-07-16,10000.0,23381.42115415252
63.0,oui,aucun,0.0,290.4,1820.0,veuf,0.43,2020-10-18,6175.15,500.0
68.0,oui,master,3.0,220.7,1684.0,marié,0.36,2023-09-24,5000.0,4324.856803286908
73.0,oui,bac,0.0,216.7,2310.0,célibataire,0.56,2022-03-06,1094.79,500.0
57.0,oui,aucun,2.0,202.5,3140.0,veuf,0.37,2020-11-17,3426.542,500.0
35.0,non,aucun,0.0,344.3,4089.0,veuf,0.96,2020-09-14,10000.0,500.0
25.0,non,bac,3.0,139.9,3387.0,marié,0.0,2023-07-05,4350.946,500.0
40.0,non,doctorat,2.0,276.7,2622.0,divorcé,0.3,2024-02-06,5000.0,500.0
25.0,non,master,-1.0,287.2,3158.0,célibataire,0.42,2021-12-16,4411.044,500.0
34.0,non,aucun,1.0,215.1,1959.0,célibataire,0.54,2025-05-29,5000.0,10854.07936402302
65.0,oui,master,2.0,331.3,3385.0,célibataire,0.84,2021-03-17,605.13,13939.190884194722
48.0,non,bac,1.0,173.1,3074.0,veuf,0.17,2023-11-10,5000.0,500.0
44.0,oui,bac+2,3.0,281.4,3403.0,divorcé,0.99,2022-11-30,3408.614,500.0
26.0,oui,aucun,3.0,83.6,1824.0,célibataire,0.2,2020-07-28,881.48,8454.336007043335
72.0,oui,aucun,2.0,244.7,4181.0,divorcé,0.33,2021-04-30,5000.0,7322.695420891237
55.0,non,master,2.0,329.2,500.0,marié,0.96,2021-05-17,5000.0,6793.452284371787
50.0,non,bac,3.0,329.4,3322.0,veuf,0.64,2024-10-24,1200.45,500.0
28.0,non,bac,2.0,260.4,1447.0,veuf,0.4,2021-12-10,10000.0,500.0
66.0,non,master,2.0,266.0,2886.0,divorcé,0.83,2020-12-22,10000.0,500.0
72.0,oui,bac,1.0,320.2,2744.0,célibataire,0.38,2020-04-07,5000.0,500.0
19.0,non,doctorat,1.0,342.3,1731.0,divorcé,0.37,2024-01-31,10000.0,7178.331807639605
74.0,oui,bac,2.0,188.7,867.0,marié,0.78,2023-02-16,10000.0,10699.741376669954
51.0,oui,bac,2.0,168.4,932.0,veuf,0.86,2020-03-17,5000.0,500.0
67.0,oui,master,2.0,231.6,1688.0,veuf,0.52,2020-02-26,7000.0,12691.20933726451
30.0,non,master,2.0,274.8,4821.0,célibataire,0.43,2020-03-01,852.08,32406.363429223
70.0,oui,doctorat,5.0,395.5,3294.0,marié,0.53,2025-01-16,5246.192,14959.704183298292
59.0,non,doctorat,2.0,469.5,3307.0,divorcé,0.25,2023-11-20,5000.0,500.0
48.0,oui,doctorat,0.0,250.4,3327.0,veuf,0.24,2024-02-19,7000.0,931.2893411604468
33.0,non,bac+2,3.0,163.4,3644.0,divorcé,0.83,2025-05-20,10000.0,500.0
35.0,non,doctorat,0.0,222.9,2186.0,veuf,0.81,2021-12-30,5000.0,13336.458815540716
23.0,non,doctorat,0.0,174.7,1878.0,veuf,0.89,2024-08-14,10000.0,500.0
56.0,non,bac+2,0.0,302.9,3511.0,divorcé,0.35,2025-05-28,667.42,6275.995657375264
54.0,oui,bac,2.0,192.3,2292.0,veuf,0.09,2024-04-22,1225.01,500.0
18.0,oui,master,1.0,267.1,4413.0,divorcé,0.88,2020-04-24,8000.0,23586.21984120104
66.0,non,doctorat,0.0,166.9,4075.0,veuf,0.23,2022-08-18,5000.0,29327.468801877967
54.0,non,bac+2,1.0,259.4,500.0,marié,0.23,2025-05-26,633.96,500.0
64.0,oui,bac,4.0,69.4,2527.0,veuf,0.64,2022-11-21,5000.0,6766.208142869146
18.0,non,doctorat,3.0,203.0,3125.0,veuf,0.95,2020-07-07,7165.322,500.0
66.0,oui,bac+2,0.0,289.9,2629.0,veuf,0.72,2023-01-27,10000.0,500.0
39.0,oui,aucun,2.0,337.8,4301.0,veuf,0.82,2021-02-17,5000.0,6527.309924135625
38.0,non,bac,0.0,251.6,3880.0,veuf,0.61,2020-08-07,5165.505999999999,500.0
40.0,oui,aucun,1.0,220.2,3696.0,marié,0.5,2021-03-25,7137.876000000001,500.0
21.0,non,aucun,0.0,195.7,5297.0,veuf,0.91,2022-07-25,6101.005999999999,500.0
48.0,non,bac+2,1.0,270.1,2944.0,veuf,0.3,2020-08-14,5000.0,4878.983510459015
20.0,oui,aucun,0.0,201.5,1733.0,divorcé,0.73,2022-04-02,5000.0,500.0
71.0,non,bac,2.0,252.7,500.0,célibataire,0.42,2021-04-10,6032.364,500.0
24.0,oui,master,0.0,116.2,500.0,veuf,0.68,2021-11-27,4321.546,9005.3984759165
70.0,non,bac,2.0,422.9,891.0,veuf,0.72,2020-03-29,1262.05,4648.262954564732
67.0,non,aucun,0.0,201.8,3188.0,veuf,0.55,2023-07-01,10000.0,500.0
61.0,non,doctorat,1.0,159.6,3018.0,veuf,0.36,2024-04-18,10000.0,500.0
29.0,non,doctorat,1.0,369.8,500.0,veuf,0.82,2022-09-28,6125.746,17519.79086127057
63.0,non,master,3.0,179.8,4921.0,veuf,0.12,2020-12-20,10000.0,500.0
72.0,oui,aucun,1.0,143.1,2369.0,veuf,0.7,2021-12-26,1011.5,500.0
64.0,non,aucun,5.0,203.72000000000003,2309.0,veuf,0.39,2023-03-15,986.83,23004.85004339703
59.0,non,bac,2.0,432.7,4242.0,célibataire,0.78,2023-06-12,5000.0,525.9216548946995
72.0,oui,aucun,3.0,103.5,1279.0,veuf,0.71,2025-03-27,10000.0,500.0
18.0,oui,aucun,-1.0,250.9,2803.0,veuf,0.25,2023-10-31,8240.984,5283.578467374318
40.0,oui,doctorat,3.0,218.0,2497.0,divorcé,0.19,2023-09-01,6000.0,500.0
35.0,non,bac,2.0,355.7,2794.0,veuf,0.4,2023-04-21,639.35,15204.45744031618
32.0,oui,bac,0.0,285.1,2945.0,veuf,0.26,2023-03-20,1164.09,500.0
63.0,non,aucun,1.0,176.3,4197.0,veuf,0.35,2020-05-18,10000.0,500.0
19.0,non,aucun,2.0,255.2,3256.0,veuf,0.65,2022-03-18,828.76,500.0
69.0,non,bac,4.0,264.9,3717.0,veuf,0.56,2022-01-21,10000.0,13170.559304605247
47.0,oui,doctorat,0.0,202.3,2983.0,veuf,0.69,2023-06-14,5000.0,23595.20348242246
70.0,non,doctorat,1.0,421.4,2076.0,veuf,0.7,2021-10-01,5187.012,22782.65101085786
67.0,oui,master,2.0,134.7,3439.0,veuf,0.06,2021-08-22,10000.0,942.2444110939668
68.0,oui,doctorat,2.0,38.9,686.0,célibataire,0.11,2020-12-01,5000.0,12270.06665872613
56.0,non,aucun,2.0,186.0,3780.0,célibataire,0.5,2025-02-24,5000.0,1147.9499177521698
66.0,oui,bac,1.0,211.9,4590.0,célibataire,0.84,2025-05-07,6173.866,25361.899125577955
58.0,non,bac+2,4.0,133.4,2960.0,divorcé,0.67,2024-05-03,3514.942,12717.193538141437
44.0,oui,bac,4.0,48.3,3697.0,divorcé,0.45,2021-06-23,5000.0,3318.5272235825673
45.0,non,bac,1.0,252.1,1635.0,marié,0.76,2022-01-15,958.13,500.0
56.0,oui,doctorat,1.0,201.4,1762.0,divorcé,0.04,2024-11-02,913.01,8395.400810142952
45.0,non,aucun,1.0,307.4,743.0,veuf,0.63,2024-03-31,10000.0,1991.076420631058
